order,list,item,condition,target_type,target_num,comp_num,Exp1_target,Exp1_competitor,ambiguity,targetID,targetPos,compPos,comp2Pos,destPos,locPhrase,order_of_mention,entities,target_grammatical_status,target_number,sentence,firstDisplay,secondDisplay,expTrials
80,3,30,4,2,2,2,cans,skirts,ambiguous,5,1,2,,5,next to,1,2,subject,plural,The cans next to the skirts are on number 1.,E30_4_1.jpg,E30_4_2.jpg,Y
80,4,30,1,1,1,1,can,skirt,ambiguous,5,1,2,,5,next to,1,2,subject,singular,The can next to the skirt is on number 1.,E30_1_1.jpg,E30_1_2.jpg,Y
81,1,X39,9,,,,,,,,6,3,4,2,below,1,1,subject,plural,The crowns are on number 6.,X39_9_1.jpg,X39_9_2.jpg,N
81,2,X39,9,,,,,,,,6,3,4,2,below,1,1,subject,plural,The crowns are on number 6.,X39_9_1.jpg,X39_9_2.jpg,N
81,3,X39,9,,,,,,,,6,3,4,2,below,1,1,subject,plural,The crowns are on number 6.,X39_9_1.jpg,X39_9_2.jpg,N
81,4,X39,9,,,,,,,,6,3,4,2,below,1,1,subject,plural,The crowns are on number 6.,X39_9_1.jpg,X39_9_2.jpg,N
82,1,31,1,1,1,1,trumpet,mask,ambiguous,13,1,2,,6,next to,1,2,subject,singular,The trumpet next to the mask is on number 1.,E31_1_1.jpg,E31_1_2.jpg,Y
82,2,31,2,1,2,1,trumpets,mask,unambiguous,13,1,2,,6,next to,1,2,subject,plural,The trumpets next to the mask are on number 1.,E31_2_1.jpg,E31_2_2.jpg,Y
82,3,31,3,2,1,2,trumpet,masks,unambiguous,13,1,2,,6,next to,1,2,subject,singular,The trumpet next to the masks is on number 1.,E31_3_1.jpg,E31_3_2.jpg,Y
82,4,31,4,2,2,2,trumpets,masks,ambiguous,13,1,2,,6,next to,1,2,subject,plural,The trumpets next to the masks are on number 1.,E31_4_1.jpg,E31_4_2.jpg,Y
83,1,X71,9,,,,,,,,3,6,,5,above,2,2,PP object,singular,"The guinea pigs are on number 6, and they are below the printer.",X71_9_1.jpg,X71_9_2.jpg,N
83,2,X71,9,,,,,,,,3,6,,5,above,2,2,PP object,singular,"The guinea pigs are on number 6, and they are below the printer.",X71_9_1.jpg,X71_9_2.jpg,N
83,3,X71,9,,,,,,,,3,6,,5,above,2,2,PP object,singular,"The guinea pigs are on number 6, and they are below the printer.",X71_9_1.jpg,X71_9_2.jpg,N
83,4,X71,9,,,,,,,,3,6,,5,above,2,2,PP object,singular,"The guinea pigs are on number 6, and they are below the printer.",X71_9_1.jpg,X71_9_2.jpg,N
84,1,X23,9,,,,,,,,4,1,,3,below,1,2,subject,plural,"The lemons are on number 4, and they are below the golfer.",X23_9_1.jpg,X23_9_2.jpg,N
84,2,X23,9,,,,,,,,4,1,,3,below,1,2,subject,plural,"The lemons are on number 4, and they are below the golfer.",X23_9_1.jpg,X23_9_2.jpg,N
84,3,X23,9,,,,,,,,4,1,,3,below,1,2,subject,plural,"The lemons are on number 4, and they are below the golfer.",X23_9_1.jpg,X23_9_2.jpg,N
84,4,X23,9,,,,,,,,4,1,,3,below,1,2,subject,plural,"The lemons are on number 4, and they are below the golfer.",X23_9_1.jpg,X23_9_2.jpg,N
85,1,32,3,2,1,2,fridge,flutes,unambiguous,10,1,4,,3,above,1,2,subject,singular,The fridge above the flutes is on number 1.,E32_3_1.jpg,E32_3_2.jpg,Y
85,2,32,4,2,2,2,fridges,flutes,ambiguous,10,1,4,,3,above,1,2,subject,plural,The fridges above the flutes are on number 1.,E32_4_1.jpg,E32_4_2.jpg,Y
85,3,32,1,1,1,1,fridge,flute,ambiguous,10,1,4,,3,above,1,2,subject,singular,The fridge above the flute is on number 1.,E32_1_1.jpg,E32_1_2.jpg,Y
85,4,32,2,1,2,1,fridges,flute,unambiguous,10,1,4,,3,above,1,2,subject,plural,The fridges above the flute are on number 1.,E32_2_1.jpg,E32_2_2.jpg,Y
